url,model,year,price,miles,type,color,status,image
"https://www.tesla.com/ms/order/5YJSA1E47FF115129?postal=92805&coord=33.8358,-117.9063&titleStatus=used&redirect=no#payment",Model S,2015,59800,58046,P90DL All-Wheel Drive,Midnight Silver Metallic Paint,Available Now,"https://static-assets.tesla.com/configurator/compositor?&bkba_opt=2&view=STUD_3QTR&size=1400&model=ms&options=$BP01,$ADPX2,$GLFR,$AU01,$DA02,$APH1,$APD2,$X028,$BTX4,$PX4D,$BS00,$BC0R,$CH00,$CW02,$COUS,$X040,$IDHM,$X027,$DRLH,$AF00,$FG02,$DCF0,$X007,$X011,$PI01,$IX01,$X001,$LP01,$LT3B,$MI00,$X037,$MDLS,$DV4W,$X024,$X003,$ZCST,$PMNG,$PA00,$PS01,$PK00,$X031,$PX00,$PF01,$TM00,$BR01,$RENA,$RFP2,$USSB,$X013,$S15B,$ME02,$QNEB,$SR01,$SP00,$X019,$SC04,$SU00,$TP03,$TR00,$TIM6,$WTX0,$DSH7,$MT90L,$UTAB,$WTSG,$WR01,$YF01,$CPF1&crop=1400,850,300,130&scalemode=centered"
"https://www.tesla.com/ms/order/5YJSA1E4XFF111026?postal=92805&coord=33.8358,-117.9063&titleStatus=used&redirect=no#payment",Model S,2015,52300,57947,P85D All-Wheel Drive,Midnight Silver Metallic Paint,Available Now,"https://static-assets.tesla.com/configurator/compositor?&bkba_opt=2&view=STUD_3QTR&size=1400&model=ms&options=$BP00,$ADPX2,$GLFR,$AU01,$DA02,$APH1,$APD2,$X028,$BT85,$P85D,$BS00,$BC0R,$CH00,$CW00,$COUS,$X040,$IDPB,$X027,$DRLH,$AF00,$FG02,$DCF0,$X007,$X011,$PI01,$IX01,$X001,$LP01,$LT3G,$MI00,$X037,$MDLS,$DV4W,$X024,$X003,$ZCST,$PMNG,$PA00,$PS01,$PK00,$X031,$PX00,$PF01,$TM00,$BR05,$RENA,$RFP2,$USSB,$X013,$S15G,$ME02,$QNEG,$SR01,$SP00,$X021,$SC04,$SU00,$TP03,$TR00,$TIM6,$WTX0,$DSH7,$MT85P,$UTAB,$WTSG,$WR01,$YF00&crop=1400,850,300,130&scalemode=centered"
https://www.carvana.com/vehicle/1807114,Model S,2016,46990,57181,P90D,color,Available,https://cdnblob.fastly.carvana.io/2001180418/post-large/normalized/zoomcrop/2001180418-edc-02.jpg?v=2021.8.26_21.46.28&width=347
https://www.carvana.com/vehicle/1901020,Model 3,2018,42590,57090,Mid Range,color,Available,https://cdnblob.fastly.carvana.io/2001146190/post-large/normalized/zoomcrop/2001146190-edc-02.jpg?v=2021.7.20_15.54.20&width=347
https://www.vroom.com/inventory/tesla-model-3-2018-5YJ3E1EB5JF182408,Model 3,2018,41999,56685,AWD LONG RANGE 4DR FASTBACK,color,Available Soon,
https://www.carvana.com/vehicle/1905899,Model 3,2018,40990,56258,Long Range,color,Available,https://carvanaevoxprodblob.blob.core.windows.net/evox/color_0640_032_png/MY2020/14274/14274_cc0640_032_PPSW.png
https://www.carvana.com/vehicle/1847436,Model S,2014,37990,55499,base,color,Available,https://cdnblob.fastly.carvana.io/2001257404/post-large/normalized/zoomcrop/2001257404-edc-02.jpg?v=2021.9.4_20.57.59&width=347
https://www.carvana.com/vehicle/1917016,Model S,2018,66990,55100,100D,color,Available,https://cdnblob.fastly.carvana.io/2001257404/post-large/normalized/zoomcrop/2001257404-edc-02.jpg?v=2021.9.4_20.57.59&width=347
https://www.carvana.com/vehicle/1851756,Model S,2012,33990,54932,Performance,color,Available,https://cdnblob.fastly.carvana.io/2001079111/post-large/2001079111-edc-02-search.jpg?v=2021.7.16_15.45.55
https://www.vroom.com/inventory/tesla-model-3-2018-5YJ3E1EB3JF115211,Model 3,2018,42499,54757,Long Range,color,Sale Pending,
https://www.vroom.com/inventory/tesla-model-3-2018-5YJ3E1EB0JF118969,Model 3,2018,44999,54734,AWD LONG RANGE 4DR FASTBACK,color,Available Soon,
https://www.vroom.com/inventory/tesla-model-3-2018-5YJ3E1EB0JF118969,Model 3,2018,44999,54734,AWD LONG RANGE 4DR FASTBACK,color,Available Soon,
https://www.vroom.com/inventory/tesla-model-s-2016-5YJSA1E26GF168288,Model S,2016,44999,54576,90D,color,Available Soon,
https://www.vroom.com/inventory/tesla-model-s-2016-5YJSA1E26GF168288,Model S,2016,44999,54576,90D,color,Available Soon,
